Zeit,Kanal A,Kanal B
(ms),(V),(V)

-9.63304568,0.02502518,0.00000000
-9.63048568,0.02502518,0.00000000
-9.62792568,0.02502518,0.00000000
-9.62536568,0.02807703,0.00000000
-9.62280568,0.02807703,0.00000000
-9.62024568,0.02502518,0.00000000
-9.61768568,0.02807703,0.00000000
-9.61512568,0.02807703,0.00000000
-9.61256568,0.02807703,0.00000000
-9.61000568,0.03051851,0.00000000
-9.60744568,0.03357036,0.00000000
-9.60488568,0.03051851,0.00000000
-9.60232568,0.02807703,0.00000000
-9.59976568,0.02807703,0.00000000
-9.59720568,0.02807703,0.00000000
-9.59464568,0.02807703,0.00000000
-9.59208568,0.02807703,0.00000000
-9.58952568,0.02502518,0.00000000
-9.58696568,0.02807703,0.00000000
-9.58440568,0.02807703,0.00000000
-9.58184568,0.02807703,0.00000000
-9.57928568,0.02502518,0.00000000
-9.57672568,0.02258370,0.00000000
-9.57416568,0.02502518,0.00000000
-9.57160568,0.02502518,0.00000000
-9.56904568,0.02258370,0.00000000
-9.56648568,0.02502518,0.00000000
-9.56392568,0.02258370,0.00000000
-9.56136568,0.02502518,0.00000000
-9.55880568,0.02502518,0.00000000
-9.55624568,0.02502518,0.00000000
-9.55368568,0.02502518,0.00000000
-9.55112568,0.02502518,0.00000000
-9.54856568,0.02502518,0.00000000
-9.54600568,0.02502518,0.00000000
-9.54344568,0.02258370,0.00000000
-9.54088568,0.02258370,0.00000000
-9.53832568,0.02258370,0.00000000
-9.53576568,0.02258370,0.00000000
-9.53320568,0.02258370,0.00000000
-9.53064568,0.02258370,0.00000000
-9.52808568,0.02258370,0.00000000
-9.52552568,0.02258370,0.00000000
-9.52296568,0.02258370,0.00000000
-9.52040568,0.02258370,0.00000000
-9.51784568,0.02258370,0.00000000
-9.51528568,0.02502518,0.00000000
-9.51272568,0.02502518,0.00000000
-9.51016568,0.02502518,0.00000000
-9.50760568,0.02502518,0.00000000
-9.50504568,0.02258370,0.00000000
-9.50248568,0.01953185,0.00000000
-9.49992568,0.01953185,0.00000000
-9.49736568,0.02258370,0.00000000
-9.49480568,0.02258370,0.00000000
-9.49224568,0.01953185,0.00000000
-9.48968568,0.01953185,0.00000000
-9.48712568,0.01953185,0.00000000
-9.48456568,0.01953185,0.00000000
-9.48200568,0.01953185,0.00000000
-9.47944568,0.01953185,0.00000000
-9.47688568,0.01953185,0.00000000
-9.47432568,0.02258370,0.00000000
-9.47176568,0.02258370,0.00000000
-9.46920568,0.02258370,0.00000000
-9.46664568,0.02258370,0.00000000
-9.46408568,0.02258370,0.00000000
-9.46152568,0.01953185,0.00000000
-9.45896568,0.02258370,0.00000000
-9.45640568,0.02258370,0.00000000
-9.45384568,0.01953185,0.00000000
-9.45128568,0.01953185,0.00000000
